domain,link,play_count,name,score
sohu,http://tv.sohu.com/item/MTIwNTA5MQ==.html,59587614,蚂蚱,8.0
sohu,http://tv.sohu.com/item/MTIwNjc1Mw==.html,62940228,硬骨头,6.0
sohu,http://tv.sohu.com/item/MTIwNTA4Nw==.html,168771316,守婚如玉,7.0
sohu,http://tv.sohu.com/item/MTIwODU5OA==.html,31787500,长征大会师,9.0
sohu,http://tv.sohu.com/item/MTE5NTU0MQ==.html,37928849,遥远的婚约,6.0
sohu,http://tv.sohu.com/item/MTIwNTc4Nw==.html,190288409,那年青春我们正好,8.0
sohu,http://tv.sohu.com/item/MTIwNjk3NA==.html,81756272,嫁个老公过日子,8.0
sohu,http://tv.sohu.com/item/MTIwNTM1Ng==.html,143956117,柠檬初上（卫视版）,8.0
sohu,http://tv.sohu.com/item/MTIwMjY1OQ==.html,301450066,山海经之赤影传说（卫视版）,8.0
sohu,http://tv.sohu.com/item/MTIwNzA2Ng==.html,170293293,太太万岁,7.0
sohu,http://tv.sohu.com/item/MTIwNzc1MA==.html,79767170,养个孩子不容易,6.0
sohu,http://tv.sohu.com/item/MTIwNjcwMg==.html,113802693,若是如此,7.0
sohu,http://tv.sohu.com/item/MTIwOTA4Nw==.html,40444096,我的岳父会武术,8.0
sohu,http://tv.sohu.com/item/MTIwNTc5Ng==.html,178350821,女不强大天不容,7.0
sohu,http://tv.sohu.com/item/MTIwNjg0NA==.html,60623435,我的爱情撞上了战争,6.0
sohu,http://tv.sohu.com/item/MTE3MzU1Nw==.html,154544491,远得要命的爱情,8.0
sohu,http://tv.sohu.com/item/MTA0OTQ4OA==.html,30094470,因为爱,7.0
sohu,http://tv.sohu.com/item/MTIwNzUyMA==.html,47795198,终极使命,7.0
sohu,http://tv.sohu.com/item/MTIwNTk0OQ==.html,53915502,彭德怀元帅,9.0
sohu,http://tv.sohu.com/item/MjA3MTIz.html,258134818,秀丽江山之长歌行（卫视版）,8.0
sohu,http://tv.sohu.com/item/MTk3NTkz.html,59942626,刺青,6.0
sohu,http://tv.sohu.com/item/MTIwNTg4Nw==.html,77275145,玉海棠（卫视版）,8.0
sohu,http://tv.sohu.com/item/MTIwODgxMw==.html,33289138,深宅1927,7.0
sohu,http://tv.sohu.com/item/MTIwNzk4Nw==.html,40994425,傻儿传奇之抗战到底,7.0
sohu,http://tv.sohu.com/item/MTE5OTY3NA==.html,111263470,游击英雄,6.0
sohu,http://tv.sohu.com/item/MTIwODk2NA==.html,29047563,淬火成钢,8.0
sohu,http://tv.sohu.com/item/MTE5OTgxNQ==.html,119070801,我是杜拉拉（卫视版）,8.0
sohu,http://tv.sohu.com/item/MTE5OTM2Mg==.html,345561198,寂寞空庭春欲晚（卫视版）,4.0
sohu,http://tv.sohu.com/item/MTE5ODE3Nw==.html,329542035,执念师（原版）,8.0
sohu,http://tv.sohu.com/item/MTE5NTI5Mw==.html,82130223,终极对决,6.0
sohu,http://tv.sohu.com/item/MTE5OTk3Ng==.html,228889807,我的宝贝,7.0
sohu,http://tv.sohu.com/item/MTIwMDMyMQ==.html,2932961,仙侠剑（卫视版）,8.0
sohu,http://tv.sohu.com/item/MTA4MzAxOA==.html,49920945,战地狮吼,4.0
sohu,http://tv.sohu.com/item/MTE5OTk5Nw==.html,2072601,爸爸父亲爹,8.0
sohu,http://tv.sohu.com/item/MTIwMzEyNw==.html,205908380,三个奶爸,8.0
sohu,http://tv.sohu.com/item/MTIwNDE5MQ==.html,7592695,欢天喜地对亲家（卫视版）,7.0
sohu,http://tv.sohu.com/item/MTIwMDAyNA==.html,58800164,刺蝶,7.0
sohu,http://tv.sohu.com/item/MTE5NzE5MA==.html,429213012,两生花,6.0
sohu,http://tv.sohu.com/item/MTE5ODQwMA==.html,2235901,嘿！真不是闹着玩的,3.0
sohu,http://tv.sohu.com/item/MjE0OTk3.html,93335083,错伏,7.0
sohu,http://tv.sohu.com/item/MTIwMjQ3OA==.html,81366494,决杀,6.0
sohu,http://tv.sohu.com/item/MTE5NzE1NQ==.html,569980124,偏偏喜欢你（卫视版）,7.0
sohu,http://tv.sohu.com/item/MTIwNDE2Nw==.html,129650581,刀光枪影,5.0
sohu,http://tv.sohu.com/item/MTIwMjcxOQ==.html,1420902,黄河在咆哮,8.0
sohu,http://tv.sohu.com/item/MTE5NzE5Mg==.html,41985058,我的绝密生涯,7.0
sohu,http://tv.sohu.com/item/MTEwMzQ3OA==.html,2595841,聊斋新编（卫视版）,0.0
sohu,http://tv.sohu.com/item/MTE5OTU4Ng==.html,53131926,二婶,6.0
sohu,http://tv.sohu.com/item/MTE5NTY3NA==.html,115320160,杀寇决,9.0
sohu,http://tv.sohu.com/item/MTE3Mzg2NA==.html,571260654,大汉情缘之云中歌（卫视版）,7.0
sohu,http://tv.sohu.com/item/MTE5OTc1MA==.html,209843621,美丽的秘密（卫视版）,8.0
sohu,http://tv.sohu.com/item/MTIwMzA5Nw==.html,76872460,飞虎队,8.0
sohu,http://tv.sohu.com/item/OTY3OTA4.html,757854422,少年四大名捕（卫视版）,8.0
sohu,http://tv.sohu.com/item/MTIwMjczMg==.html,124386706,左手劈刀,7.0
sohu,http://tv.sohu.com/item/MTIwMjgzNw==.html,4513870,南侨机工英雄传,8.0
sohu,http://tv.sohu.com/item/MTE5OTgxOA==.html,425284256,大好时光,7.0
sohu,http://tv.sohu.com/item/MTE5ODQxNA==.html,182064855,铁核桃,6.0
sohu,http://tv.sohu.com/item/MTIwMDE0MA==.html,227648311,枪侠,6.0
sohu,http://tv.sohu.com/item/MTIwNDI1Nw==.html,179229961,搭错车,9.0
sohu,http://tv.sohu.com/item/MTIwNjQ5MA==.html,78795023,踏破硝烟,6.0
sohu,http://tv.sohu.com/item/MTIwNTc2Mw==.html,82458061,执念师 第二季,8.0
sohu,http://tv.sohu.com/item/MTIwODE3Nw==.html,69680030,暗战危城,5.0
sohu,http://tv.sohu.com/item/MTIwMzIyNQ==.html,449305456,煮妇神探（卫视版）,5.0
sohu,http://tv.sohu.com/item/MTIwODQ1MA==.html,56713245,信者无敌,8.0
sohu,http://tv.sohu.com/item/MTE2ODgyOA==.html,56099152,对与决,5.0
sohu,http://tv.sohu.com/item/MTIwNTE4MQ==.html,138634578,铁血战狼（卫视版）,7.0
sohu,http://tv.sohu.com/item/MTIwMzU0MA==.html,166273188,麻辣变形计（卫视版）,8.0
sohu,http://tv.sohu.com/item/MTIwNTAwMw==.html,399694595,武神赵子龙（卫视版）,8.0
sohu,http://tv.sohu.com/item/MTE5OTg5NQ==.html,87701216,三八线,6.0
sohu,http://tv.sohu.com/item/MTIwNjUxOQ==.html,163639071,神犬小七 第二季（卫视版）,9.0
sohu,http://tv.sohu.com/item/MTIwODE5MA==.html,74882972,木兰妈妈,7.0
sohu,http://tv.sohu.com/item/MTIwMjg4MA==.html,295480511,特种兵之霹雳火（卫视版）,5.0
sohu,http://tv.sohu.com/item/MTIwNzkwMw==.html,58342349,遥远的距离,7.0
sohu,http://tv.sohu.com/item/MTIwODE3Mw==.html,39745622,豆娘,6.0
sohu,http://tv.sohu.com/item/MTIwNDU2Nw==.html,97598161,大年初一立春,4.0
sohu,http://tv.sohu.com/item/MTIwODc3OQ==.html,76207237,闺蜜嫁到,7.0
sohu,http://tv.sohu.com/item/MTIwNjc1OA==.html,409964640,刺客列传,9.0
sohu,http://tv.sohu.com/item/MTIwMjcxNg==.html,270924885,青丘狐传说（卫视版）,7.0
sohu,http://tv.sohu.com/item/MTIwNjUzMQ==.html,133294647,美人私房菜之玉蝶传奇（未删减版）,9.0
sohu,http://tv.sohu.com/item/MTIwNTQxNg==.html,1410937852,幻城（卫视版）,8.0
sohu,http://tv.sohu.com/item/MTE5NzAzOA==.html,460987315,女医明妃传,9.0
sohu,http://tv.sohu.com/item/MTIwNTAyMA==.html,215536120,我爱男保姆,8.0
sohu,http://tv.sohu.com/item/MTIwNzk3Nw==.html,75986355,锻刀,7.0
sohu,http://tv.sohu.com/item/MTIwNDk5NQ==.html,104501619,热血,7.0
sohu,http://tv.sohu.com/item/MTIwNzY3Nw==.html,53676691,宜昌保卫战,7.0
sohu,http://tv.sohu.com/item/MTIwMzE5NQ==.html,578519152,好先生,9.0
sohu,http://tv.sohu.com/item/MTIwMzI0Mg==.html,108526613,双刺（卫视版）,7.0
sohu,http://tv.sohu.com/item/MTIwODk0MA==.html,62977410,别让爱你的人等太久,8.0
sohu,http://tv.sohu.com/item/MTIwNjk1Mw==.html,69202,夏至未至,
sohu,http://tv.sohu.com/item/MTIwOTU2NA==.html,907678,大唐荣耀,
sohu,http://tv.sohu.com/item/MTIwODAwNw==.html,1680525,无心法师 第二部,
sohu,http://tv.sohu.com/item/MTIwMzQ0Nw==.html,243751457,雪域雄鹰,8.0
sohu,http://tv.sohu.com/item/MTE4OTQ3NA==.html,100765503,妈妈向前冲,6.0
sohu,http://tv.sohu.com/item/MTE5OTc0Nw==.html,227025259,幸福归来,7.0
