best2_score,best3_name,job,best1_name,best4_name,best4_score,best1_score,best3_score,best2_name,id,best5_name,best5_score,name
8.3,都铎王朝 第四季,actor,天鹅绒金矿,都铎王朝 第二季,8.0,8.4,8.0,八月迷情,1012518,赛末点,8.0,乔纳森·莱斯·梅耶斯
9.4,辛普森一家  第一季,actor,老友记  第七季,剪刀手爱德华,8.7,9.7,9.0,辛普森一家 第六季,1012519,怪奇物语 第一季,8.7,薇诺娜·瑞德
9.4,盗梦空间,actor,辛普森一家 第二...,恶搞之家 第十季,9.2,9.5,9.2,辛普森一家  第...,1012520,同行：奥兰多特别篇,9.2,艾伦·佩吉
9.3,Ewan Mcgregor: ...,actor,漫漫长路,伊万·麦格雷戈...,9.1,9.4,9.1,长路迢迢,1012532,急诊室的故事 第...,8.9,伊万·麦克格雷格
7.4,浪子春潮,actor,猴子传奇,查泰莱夫人,6.9,7.4,7.2,阿尔菲,1012559,博命,6.6,雪莉·安妮·菲尔德
9.5,幻术大师 第一季,actor,见信如晤,永远的英国电影,8.7,9.6,9.2,巨蟒剧团：几乎...,1012562,这不是弥赛亚,8.7,桑吉夫·巴哈斯卡
8.5,浣熊 第一季,actor,正南方 第一季,埃勒维兹的圣诞节,7.7,9.2,7.8,大草原上的小清真寺,1012567,小姑娘艾萝依,7.3,Debra McGrath
8.5,星际之门：亚特...,actor,太空堡垒卡拉狄...,倒塌的大厦,7.8,8.8,8.3,星际之门 SG-1  ...,1012578,星舰复国记 第一季,7.7,阿莱克斯·潘诺维奇
9.1,坂上之云 第一部,actor,坂上之云 第二部,不能结婚的男人,8.9,9.1,9.0,坂上之云 第三部,1012581,回我的家,8.8,阿部宽
8.7,铁托和我,actor,地下,交会点,8.2,9.1,8.5,谁在那儿歌唱？,1012586,黑名单上的人,8.1,德拉甘·尼柯立克
8.1,德国八三年,actor,再见列宁,犯罪现场,7.8,8.7,8.0,太阳大道,1012598,战争与和平,7.8,亚历山大·贝叶尔
8.3,跛豪,actor,君临天下之血溅...,第一类型危险,7.9,8.5,8.0,君临天下,1012614,我来自潮州,7.7,罗烈
9.2,医龙,actor,SMAPxSMAP,瘟神系列：蝼蛄,8.8,9.3,8.8,虎与龙SP,1012650,SPEC,8.8,北村一辉
9.0,死者田园祭,actor,七武士,天国与地狱,8.5,9.1,8.9,生之欲,1012687,野良犬,8.2,木村功
8.1,少林英雄,actor,买凶拍人,四大家族之龙虎兄弟,7.8,8.3,7.8,国际刑警,1012699,忘不了,7.7,陈惠敏
8.8,跳跃大搜查线：9...,actor,跳跃大搜查线,相棒,8.7,9.0,8.7,家族的形式,1012721,她们的时代,8.4,水野美纪
8.8,不落的太阳,actor,康乃馨,东京塔,8.6,9.0,8.7,家族游戏,1012727,Jose与虎与鱼们,8.3,板尾创路
9.4,龙珠Z,actor,海贼王,小小外星人,9.2,9.5,9.3,银河英雄传说,1012736,银河英雄传说：...,9.2,古川登志夫
8.6,花样年华,actor,无间道(正序版),无间道2,8.2,8.7,8.4,枪火,1012751,监狱风云,8.1,张耀扬
8.3,BUNGO -日本文学...,actor,永不放弃,天国遥遥,8.0,8.7,8.0,变革,1012765,宠物小精灵：决...,7.8,加藤罗莎
