actor1,first_show,actor4,title,actor3,production_company,name2,online,style,writer,actor2,douban_num,name1,seasons,director,episodes,douban_score
,,,逗爱男女 第二季,,,,,,,,,,,,,
,,,鸡毛蒜皮,,,,,,,,,,,,,
,,,女神的战争 第二季,,,,,,,,,,,,,
,,,微笑江湖 第二季,,,,,,,,,,,,,
,,,屌丝联盟 第二季,,,,,,,,,,,,,
刘萌萌,2016年10月24日[4],吴佳玮,实习侠,于歌,一下影业,,秒拍、腾讯视频,青春职场喜剧,刘宝琛,黎源,15,,,老狗,12,0
,,,睡前别看诡故事,,,,,,,,2,,,,,0
"姚星竹[1] 
",2016[1],,亲向前冲,任雨[1],,,爱奇艺[1],喜剧,,"魏大勋[1] 
",,,,钱玮炜[1],15[1],
,,,女友不是人,,,,,,,,,,,,,
黄彦[2],,,合租男女,,山东聚星文化传媒有限公司[1],,腾讯视频[2],,王浩男,,0,,,刘情情 [1],,0
